Event,Start Time,End Time,Address,Address Details,Description,Web Page,Event Type,Audience,Recurring Event,Latitude,Longitude,Location
Chicago Board of Health Monthly Meeting,11/21/2018 09:00:00 AM,11/21/2018 10:30:00 AM,333 S. State Street,"2nd Floor, Board Room",Board of Health Members will convene for their monthly meeting.,,Meeting,,Yes,41.877396937,-87.627514932,"(41.87739693703613, -87.62751493171092)"
CAHISC's Membership Committee Meeting,03/09/2018 10:00:00 AM,03/09/2018 12:00:00 PM,333 S State St.,DePaul Center #2113,Planning activities for CAHISC's Membership Committee. Planning for HIV integrated services in the Chicago Eligible Metropolitan Area.,,Planning Meeting,Adult | LGBTQ | Seniors,No,41.877396937,-87.627514932,"(41.87739693703613, -87.62751493171092)"
National Kidney Day,03/08/2018 01:00:00 PM,03/08/2018 06:00:00 PM,4300 North Narragansett Ave.,Wilbur Wright College Atrium,"Free health screenings: Kidney disease, diabetes, high blood pressure, cholesterol and STI's.",http://www.nkfi.org/events/world-kidney-day#.WpW5olrwaUk,Health Fair,Adult | Children | Seniors,No,41.958548346,-87.786918989,"(41.958548345644644, -87.78691898876937)"
CAHISC Full Body Meeting,03/28/2018 09:00:00 AM,03/28/2018 12:00:00 PM,525 S State Street,The University Center,Planning activities for CAHISC. Planning activities for HIV integrated services in the Chicago Eligible Metropolitan Area.,,Council Meeting,Adult | LGBTQ | Seniors,No,41.875179056,-87.627473789,"(41.875179056057796, -87.6274737894488)"
Chicago Board of Health Monthly Meeting,03/21/2018 09:00:00 AM,03/21/2018 10:30:00 AM,333 S. State Street,"2nd Floor, Board Room",Board of Health members will convene for their monthly meeting.,,Meeting,,Yes,41.877396937,-87.627514932,"(41.87739693703613, -87.62751493171092)"
CAHISC's Housing Committee Meeting,03/21/2018 10:00:00 AM,03/21/2018 12:00:00 PM,333 S State St.,DePaul Center  3B,Planning activities for CAHISC's Housing Committee. Planning activities for HIV integrated services in the Chicago Eligible Metropolitan Area.,,Council Meeting,Adult | LGBTQ | Seniors,No,41.877396937,-87.627514932,"(41.87739693703613, -87.62751493171092)"
Chicago Board of Health Monthly Meeting,10/17/2018 09:00:00 AM,10/17/2018 10:30:00 AM,333 S. State Street,"2nd Floor, Board Room",Board of Health Members will convene for their monthly meeting.,,Meeting,,Yes,41.877396937,-87.627514932,"(41.87739693703613, -87.62751493171092)"
Chicago Board of Health Monthly Meeting,08/15/2018 09:00:00 AM,08/15/2018 10:30:00 AM,333 S. State Street,"2nd Floor, Board Room",Board of Health Members will convene for their monthly meeting.,,Meeting,,Yes,41.877396937,-87.627514932,"(41.87739693703613, -87.62751493171092)"
Chicago Board of Health Monthly Meeting,07/18/2018 09:00:00 AM,07/18/2018 10:30:00 AM,333 S. State Street,"2nd Floor, Board Room",Board of Health Members will convene for their monthly meeting.,,Meeting,,Yes,41.877396937,-87.627514932,"(41.87739693703613, -87.62751493171092)"
CAHISC's Steering Committee Meeting,03/14/2018 01:00:00 PM,03/14/2018 04:00:00 PM,333 S State St.,DePaul Center 3rd floor 3B,Planning activities for CAHISC's Steering Committee. Planning activities for HIV integrated services in the Chicago Eligible Metropolitan Area.,,Council Meeting,,No,41.877396937,-87.627514932,"(41.87739693703613, -87.62751493171092)"
Chicago Board of Health Monthly Meeting,04/18/2018 09:00:00 AM,04/18/2018 10:30:00 AM,333 S. State Street,"2nd Floor, Board Room",Board of Health members will convene for their monthly meeting.,,Meeting,,Yes,41.877396937,-87.627514932,"(41.87739693703613, -87.62751493171092)"
World Tuberculosis (TB) Day 2018,03/21/2018 08:30:00 AM,03/21/2018 01:15:00 PM,845 S. Damen Ave,3rd Floor Event Center,"The Chicago Department of Public Health, Illinois Department of Public Health and University of Illinois at Chicago College of Nursing are hosting a World TB Day event. Enjoy presentations from national and local TB experts on current best practice guidelines for TB prevention, diagnosis and treatment.",,Conference,Healthcare providers in Chicago and Illinois,No,41.870267724,-87.676201322,"(41.8702677240726, -87.6762013217462)"
LGBTQ Advocacy Day,04/11/2018 08:00:00 AM,04/11/2018 12:00:00 AM,"401 S. 2nd Street, Springfield, IL 62756","Illinois State Capitol, Springfield Illinois","Lobbying for LGBTQ awareness and rights in Springfield, Illinois",,,LGBTQ,No,,,
"Public Hearing on CDBG, HOME, ESG, and HOPWA Federal Funding to Chicago",03/12/2018 05:30:00 PM,03/12/2018 06:45:00 PM,1240 S. Damen Avenue,Chicago Children?s Advocacy Center,"The public is invited to attend to provide comments on the 2017
Draft Comprehensive Annual Performance and Evaluation Report
(CAPER) and input on funding priorities for the 2019 Action Plan.
The CAPER and Action Plan cover the following U.S. Department
of Housing and Urban Development (HUD) Entitlement Programs:
Community Development Block Grants (CDBG)
HOME Investment Partnerships Grant (HOME)
Emergency Solutions Grant (ESG)
Housing Opportunities for Persons with AIDS (HOPWA)
The 2017 Draft CAPER is available for review at
www.cityofchicago.org/grants. Written comments will be
accepted through March 21, 2018.
Written comments on funding priorities for the 2019 Annual
Action Plan will be accepted through April 11, 2018.",https://www.cityofchicago.org/city/en/depts/obm/supp_info/consolidated-plan-and-action-plans.html,Public Hearing,Adult,No,41.865456169,-87.67635732,"(41.86545616852481, -87.67635731986977)"
Fitness 4 Kids Health Fair,07/14/2018 09:00:00 AM,07/14/2018 01:30:00 PM,"1116 North Kedzie Ave. Chicago,Il 60651",Association House of Chicago,"Resource and Health fair, hosted by Association House of Chicago. Free health screenings, raffles, health snacks and physical activities.",,Health Fair,Adult | Children | LGBTQ | Seniors | Teens,No,,,
Family Wellness Night at Rachel Carson Elementary School,03/22/2018 04:30:00 PM,03/22/2018 06:00:00 PM,5516 South Maplewood Ave.,Rachel Carson Elementary School,"Report card and Parent teacher conference, Resource and Health fair.",,Health Fair,Adult | Children,No,41.793255142,-87.687835759,"(41.79325514185955, -87.6878357589417)"
"The Time is Now - Sistas Uplifting Sistas on Health Equity, PrEP and Dismantling Racism",03/14/2018 09:00:00 AM,03/14/2018 04:30:00 PM,525 S. State St.,"The University Center, 2nd Floor Conference Center","Commemorating National Women & Girls HIV/AIDS Awareness Day 
The one-day conference will focus on identifying the combined impact of racism, trauma, and inequalities on the health outcomes of women and girls. Taking into consideration these factors, conference participants will gather information, tools, support, and affirmation to both confront systemic barriers and to consider solutions and strategies to improve HIV programming specifically for women and girls, inclusive of transgender persons.
This event is FREE! RSVP by March 12",http://www.aidschicago.org/sistas,Conference,Adult | LGBTQ,No,41.875179056,-87.627473789,"(41.875179056057796, -87.6274737894488)"
Jordyne Cares/Roseland Matters Spring into Health 2018,05/19/2018 08:30:00 AM,05/19/2018 02:30:00 PM,"250 East 111th St. Chicago IL, 60628",,"Hosted by Gwedolyn Brooks College Prep, provided by Jordyne Cares/Roseland Matters organization.",,Health Fair,Adult | Teens,No,,,
